date,EPBR,EPRO,EPWHI,EPWHO,EBBR,EBRO,EBWHI,EBWHO,ET,PPBR,PPRO,PPWHI,PPWHO,PBBR,PBRO,PBWHI,PBWHO,PT
2018-08,446370.7,218401.6,5146932.4,759238.5,736980.5,2496910.0,8338850.5,1187281.3,696794823.2,309081.1,243490.5,6035726.0,796616.8,366632.3,8231999.9,6182422.2,714701.7,373020472.8
2018-09,519868.7,203400.2,5091374.8,693223.4,603095.2,2432126.8,8220899.6,1245277.0,689923569.4,325532.2,235058.7,5769073.0,739574.6,296494.7,8402745.3,5947200.2,750885.1,374105025.1
2018-10,522483.8,220302.4,5094499.1,716704.4,598082.9,2313753.4,7896059.9,1214715.6,683295780.0,351159.1,240170.3,5772343.2,741576.0,287354.9,8023564.4,5766848.9,698982.4,372984264.7
2018-11,522463.2,164548.6,5319323.7,611355.1,760334.1,2487812.2,8277899.2,1265268.0,711100971.4,337232.8,192955.9,6070997.4,675838.0,373967.9,8430032.6,6200923.1,756248.3,381865275.3
2018-12,472177.8,211050.5,5263580.3,651660.4,769023.0,2302262.2,8702272.3,1193639.3,733227002.3,325640.4,236809.6,5962360.0,685030.1,383302.1,8111358.5,6325070.5,661020.3,384457529.0
2018-13,548123.0,271829.5,5463888.7,570374.8,695037.1,1903058.0,8753564.5,1212356.6,868966774.5,359891.0,267496.4,6073532.1,609795.5,335909.0,6298755.3,6074532.0,657108.9,406159583.5
2019-01,594114.3,246818.5,5429296.7,701803.4,695928.4,2147882.3,8510683.5,1334996.0,676522891.6,381999.2,248346.7,6081168.0,713354.5,321568.6,7571675.9,6006351.1,730826.8,366041503.1
2019-02,600148.6,259336.6,5643728.8,815716.6,756049.2,2305352.4,8026013.0,1273257.5,697404509.6,372602.5,275732.6,6437799.4,807487.9,355257.5,7504722.8,5608469.7,719499.3,377818694.6
2019-03,590294.6,344223.1,5302809.9,720749.6,723948.7,2366254.3,8468212.4,1233322.1,692920492.8,359613.4,313530.9,5961908.6,735829.5,348699.5,7795214.3,5845559.1,696415.8,378906739.6
2019-04,578487.0,290521.7,5341417.7,757234.3,662613.1,2275467.2,8229558.1,1255027.8,724022930.7,384162.9,286650.2,5998847.3,760033.2,324238.3,7375388.4,5758688.8,719896.6,392166949.4
2019-05,583712.1,404811.7,5538560.5,881551.2,704786.0,2118764.3,8074071.5,1125146.5,708056871.2,368249.4,369016.7,6180492.3,870088.4,354073.5,6845528.4,5628685.1,658801.4,374851102.4
2019-06,599139.7,273274.4,5685133.6,744610.3,727371.3,2413153.3,8196442.3,1191817.9,700870235.0,393658.3,322757.3,6226649.5,766375.2,345293.3,7287801.1,5734049.0,675107.4,370522921.7
2019-07,538800.9,336491.7,5524903.2,632573.9,688953.8,2266381.5,7840524.1,1117981.3,693881955.5,364033.1,344333.5,6110663.0,668716.7,320312.1,7261833.1,5505296.3,646539.8,368492980.6
2019-08,480861.6,303510.5,5369682.8,727140.2,675595.4,2311670.9,7971811.7,1115940.5,686835745.1,330923.9,319029.7,5789224.7,795850.5,307753.2,7234002.7,5499413.4,663402.8,370323848.9
2019-09,541093.1,293329.3,5362859.1,729298.0,746596.9,2275474.6,8387358.8,1256736.4,698782515.5,390982.8,311495.5,5947085.7,784723.4,359118.4,7749037.1,5994792.8,729228.3,373137776.9
2019-10,543714.7,251711.8,5132867.5,620706.7,772913.1,2220811.2,8189358.9,1199757.1,684824123.2,379671.0,254762.0,5524057.5,641623.4,354400.2,6948100.1,5866091.7,676300.9,367915136.8
2019-11,620981.4,408163.6,5484535.0,779177.6,658807.3,2215939.2,8645095.0,1268077.5,706498016.4,426428.0,348390.3,6017617.8,787013.0,307632.4,7002577.2,6147051.9,723721.8,381720098.2
2019-12,580339.7,252969.2,5482139.4,773957.5,624593.6,2113644.5,8796922.1,1271246.5,729837148.4,385210.0,285277.5,5964291.9,823717.4,299527.7,7015031.0,6252391.4,754692.5,381333358.5
2019-13,488736.3,205070.8,5266232.9,719902.8,681651.0,2037670.1,9230442.5,1129830.3,861761339.4,325139.6,203947.3,5707919.8,721726.3,329279.0,6525033.8,6451420.8,611868.3,404926513.4
2020-01,593186.8,351269.8,5492142.0,775803.1,731303.8,2339047.0,8882398.7,1219080.1,695726930.1,408786.0,297131.0,5937741.8,774539.6,325264.3,6785468.3,6353450.3,713754.6,372288785.5
2020-02,479554.2,348083.8,5309422.4,718262.1,763047.0,1963934.9,8863978.1,1223219.7,691899238.1,326503.6,309927.6,5804528.7,724112.5,357164.1,5918255.0,6435249.4,687409.0,381384852.5
2020-03,571373.7,261324.8,5827681.6,802225.1,918064.3,1968237.7,10131740.5,1158737.0,841911058.8,379274.5,273013.3,6425111.2,867111.7,418415.1,6062924.7,7338493.4,715941.9,445984396.6
2020-04,352039.7,196240.1,5577885.4,718915.7,653142.0,1714391.4,11179846.2,1298022.8,799383260.0,213069.5,227283.3,6020981.7,766133.4,297372.7,4537249.2,8193007.1,856077.4,419826631.3
2020-05,469971.4,205932.2,6267531.6,718306.5,612589.6,1820461.1,10862754.7,1284662.3,847555041.9,279614.0,231822.9,6863919.5,777076.6,300017.5,4899279.1,8011520.1,821972.9,439573040.3
2020-06,418705.0,262158.0,6198087.7,707996.7,803994.7,1847635.7,10325876.2,1200388.6,844289658.3,259914.4,287453.0,6789293.5,753992.7,380890.8,4704373.8,7651623.4,728707.9,434418634.3
2020-07,472656.6,143589.4,5925859.8,701646.6,687644.5,1670053.0,10533301.9,1208304.7,812210770.1,272446.7,191602.9,6363111.1,787775.2,339274.3,4408234.0,7760673.3,700247.5,418211124.5
2020-08,433797.7,303036.0,5545109.0,733999.1,712223.1,1280593.6,9496431.5,1137186.4,764100540.2,258274.2,306046.2,6150051.0,794437.7,333852.8,3287140.4,7015478.5,697562.6,396929960.1
2020-09,425069.2,309530.6,5471480.5,727052.0,554876.4,1571129.4,9613489.3,1288638.9,760935546.7,250243.2,379891.8,6030373.2,773143.8,264979.7,3917239.1,7055474.9,782915.0,391460736.5
2020-10,501310.8,353781.3,5448713.9,732010.6,619559.9,2019607.3,9428009.5,1104912.0,771018820.2,291120.8,389938.5,5801916.9,743221.5,288932.9,5299361.0,6870660.1,683591.2,402288296.9
2020-11,585611.7,342933.8,5773923.8,734859.5,680166.9,1871669.2,9405289.8,1099163.5,802114705.6,358361.8,397784.7,6120708.2,776634.5,299452.4,5348576.3,6814456.2,665638.0,415303652.2
2020-12,501390.0,254594.2,5709828.3,751766.6,700757.2,1874602.5,9288610.9,1122931.0,841373715.8,316152.6,324693.1,6108532.3,760937.4,314798.4,5171924.7,6727245.8,688792.4,424972877.7
2020-13,500707.7,275742.0,5746057.5,725681.2,746521.9,1685596.5,9338133.6,1025707.7,957101790.3,312071.3,270540.3,6086808.9,751573.9,326849.4,4708527.9,6789199.1,613233.4,441853624.6
